iter	Logloss
0	0.6736732685
1	0.6560967293
2	0.6412041224
3	0.6276682784
4	0.6162820494
5	0.6060399502
6	0.5968470717
7	0.5882281593
8	0.5810051061
9	0.574682295
10	0.569009951
11	0.5639960266
12	0.5595365438
13	0.5555558898
14	0.5519392783
15	0.5488860483
16	0.5463422593
17	0.5438092159
18	0.5415810244
19	0.5395306653
20	0.537876352
21	0.5362209886
22	0.5349569287
23	0.5338108127
24	0.5325221437
25	0.5316560524
26	0.5307456986
27	0.5298639949
28	0.5291081955
29	0.528611944
30	0.5281024399
31	0.5275708356
32	0.5269892174
33	0.5265331041
34	0.5261026477
35	0.5256532811
36	0.525316298
37	0.5250617759
38	0.5248358272
39	0.5246262151
40	0.5244294801
41	0.5241931527
42	0.5239241224
43	0.5236857367
44	0.5235349603
45	0.5234573998
46	0.5233191902
47	0.5231198452
48	0.5229595725
49	0.522766884
50	0.5226858725
51	0.5224735145
52	0.5223301426
53	0.5221623079
54	0.5220667572
55	0.5219025524
56	0.5218259603
57	0.5217082878
58	0.5216725422
59	0.5216207288
60	0.5215322624
61	0.521464757
62	0.521442982
63	0.5213383289
64	0.5212368108
65	0.5211582053
66	0.52107495
67	0.5210588593
68	0.5209781701
69	0.5209467416
70	0.520889443
71	0.5207499995
72	0.5207048702
73	0.5207043026
74	0.520668297
75	0.5206082064
76	0.5205670903
77	0.5204862556
78	0.5204644193
79	0.5204530188
80	0.5203961517
81	0.5203379446
82	0.5203033032
83	0.5202620308
84	0.5202514383
85	0.5202303904
86	0.5201797269
87	0.5201452409
88	0.520133859
89	0.5201073388
90	0.5200325247
91	0.5199570041
92	0.5199214063
93	0.5198806542
94	0.5198801473
95	0.5198194747
96	0.5197901464
97	0.5197598959
98	0.519730736
99	0.5197104918
100	0.5196919002
101	0.5196701295
102	0.5196526041
103	0.5196300353
104	0.5195929897
105	0.5195602002
106	0.5195470074
107	0.5195336192
108	0.5195184007
109	0.5194513522
110	0.5194282706
111	0.5194188584
112	0.5193924076
113	0.5193341141
114	0.5192826941
115	0.5192442311
116	0.5192133097
117	0.5191898316
118	0.5191693467
119	0.5191595265
120	0.5191128999
121	0.5191041235
122	0.5190672337
123	0.5190467926
124	0.5190283746
125	0.519011505
126	0.5189877368
127	0.5189630873
128	0.5189630747
129	0.5189627614
130	0.5189312932
131	0.5189231441
132	0.5189231438
133	0.5189013957
134	0.5188785658
135	0.5188727117
136	0.5188682251
137	0.5188502517
138	0.5188404993
139	0.5188349919
140	0.5188349919
141	0.5187936506
142	0.5187549354
143	0.5187369659
144	0.5187317112
145	0.5187076452
146	0.5186507021
147	0.518649641
148	0.5186309051
149	0.5186204498
150	0.5185857655
151	0.5185528305
152	0.5185490957
153	0.5185436146
154	0.5185288176
155	0.5185165226
156	0.5184960489
157	0.5184588864
158	0.5184558536
159	0.5184428713
160	0.5184250693
161	0.5184004629
162	0.5183907979
163	0.5183855363
164	0.5183362707
165	0.5183343709
166	0.5183194344
167	0.5182779401
168	0.5182470137
169	0.5182360451
170	0.5181985126
171	0.5181939403
172	0.518178611
173	0.5181701718
174	0.5181607329
175	0.5181449787
176	0.5181263218
177	0.5181182832
178	0.5180980196
179	0.5180972496
180	0.5180951794
181	0.5180869646
182	0.5180766316
183	0.5180681434
184	0.5180655819
185	0.518038363
186	0.518028307
187	0.518028307
188	0.5180255095
189	0.5180241306
190	0.518012377
191	0.518012307
192	0.5180122533
193	0.5179794986
194	0.5179575636
195	0.5179399591
196	0.5179023912
197	0.5178959964
198	0.517883059
199	0.517883059
200	0.517862211
201	0.5178341333
202	0.5178340659
203	0.5178320059
204	0.5178304006
205	0.5178158965
206	0.5177632105
207	0.5177488004
208	0.5177122938
209	0.5177091654
210	0.5176897807
211	0.5176411904
212	0.5176348386
213	0.517631645
214	0.5176230981
215	0.5175819347
216	0.5175527408
217	0.5175396749
218	0.5175395979
219	0.5175216469
220	0.5175055617
221	0.5174969851
222	0.5174721968
223	0.5174634042
224	0.5174393597
225	0.5174034657
226	0.5173670074
227	0.517350654
228	0.517322327
229	0.5173130105
230	0.5172974625
231	0.5172817754
232	0.51727958
233	0.517256856
234	0.5172079976
235	0.5171843881
236	0.5171791037
237	0.517134166
238	0.517126118
239	0.517094575
240	0.5170852233
